Datetime,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S5(O3),T,RH,AH
2004-03-10 18:00:00,1360.0,1045.5,1056.25,113.0,1267.5,13.599999904633,48.875000953674,0.7577538251293606
2004-03-10 19:00:00,1292.25,954.75,1173.75,92.0,972.25,13.299999952316,47.699999809265,0.7254874492424674
2004-03-10 20:00:00,1402.0,939.25,1140.0,114.0,1074.0,11.900000095367,53.97500038147,0.7502390673981953
2004-03-10 21:00:00,1375.5,948.25,1092.0,122.0,1203.25,11.0,60.0,0.7867125330859253
2004-03-10 22:00:00,1272.25,835.5,1205.0,116.0,1110.0,11.150000095367,59.575000762939,0.7887942318667593
2004-03-10 23:00:00,1197.0,750.25,1336.5,96.0,949.25,11.175000190735,59.175000190735,0.7847716643397448
2004-03-11 00:00:00,1185.0,689.5,1461.75,77.0,732.5,11.324999809265,56.77499961853,0.7603119392843289
2004-03-11 01:00:00,1136.25,672.0,1453.25,76.0,729.5,10.674999952316,60.0,0.7702384578230451
2004-03-11 02:00:00,1094.0,608.5,1579.0,60.0,619.5,10.650000095367,59.674999237061,0.7648187256861201
2004-03-11 03:00:00,1009.75,560.75,1705.0,,501.25,10.250000238419,60.200000762939,0.7516571648306898
2004-03-11 04:00:00,1011.0,526.75,1817.5,34.0,445.25,10.075000047684,60.474999427795,0.7464945161292466
2004-03-11 05:00:00,1066.0,512.0,1918.0,28.0,421.75,10.999999761581,56.175000190735,0.7365596001806396
2004-03-11 06:00:00,1051.75,553.25,1738.25,48.0,471.5,10.450000047684,58.125,0.7352950830247281
2004-03-11 07:00:00,1144.0,667.0,1489.75,82.0,729.75,10.200000047684,59.599999427795,0.7417361628563275
2004-03-11 08:00:00,1333.25,899.75,1136.0,112.0,1101.5,10.75,57.425000190735,0.7407945757399766
2004-03-11 09:00:00,1351.0,960.25,1079.0,101.0,1027.75,10.5,60.599998474121,0.7691107927579083
2004-03-11 10:00:00,1233.25,827.25,1218.0,98.0,859.75,10.799999952316,58.35000038147,0.7551830826522904
2004-03-11 11:00:00,1178.75,762.0,1327.5,92.0,670.5,10.499999761581,57.925000190735,0.7351607796315153
2004-03-11 12:00:00,1236.0,774.25,1301.25,95.0,664.0,9.5249998569489,66.774998664856,0.7950537885142038
2004-03-11 13:00:00,1285.5,868.5,1162.25,112.0,799.0,8.299999833107,76.425001144409,0.8392680677502771
2004-03-11 14:00:00,1371.0,1033.5,983.25,128.0,1036.5,8.0,81.14999961853,0.8735885336185425
2004-03-11 15:00:00,1310.0,932.5,1081.75,126.0,946.25,8.325000166893,79.799999237061,0.8777844450980445
2004-03-11 16:00:00,1291.75,911.5,1102.5,131.0,956.75,9.7000000476837,71.150001525879,0.8569381279436317
2004-03-11 17:00:00,1383.0,1019.75,1008.0,135.0,1104.0,9.7750000953674,67.624998092651,0.8185012074753434
